scientificName,key,originalName,matchType,status,rank,kingdom,phylum,class,order,family,genus,species
"Laburnum alpinum (Mill.) Bercht. & J.Presl","5356343","Laburnum alpinum","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Laburnum","Laburnum alpinum"
"Laburnum anagyroides Medik.","5356345","Laburnum anagyroides","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Laburnum","Laburnum anagyroides"
"Larix decidua Mill.","2686212","Larix decidua","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix","Larix decidua"
"Larix kaempferi (Lamb.) Carrière","2686157","Larix kaempferi","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix","Larix kaempferi"
"Larix sibirica Ledeb.","2686276","Larix sibirica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix","Larix sibirica"
"Laurus azorica (Seub.) Franco","7304543","Laurus azorica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Laurus","Laurus azorica"
"Laurus nobilis L.","3034015","Laurus nobilis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Laurus","Laurus nobilis"
"Ligustrum vulgare Thunb.","7433022","Ligustrum vulgare","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","Ligustrum vulgare"
"Liriodendron tulipifera L.","3152861","Liriodendron tulipifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera"
"Maclura pomifera (Rafin. ex Sarg.) Schneid.","8632078","Maclura pomifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Maclura","Maclura pomifera"
"Malus domestica Borkh.","3001244","Malus domestica","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus pumila"
"Malus sylvestris Mill.","3001509","Malus sylvestris","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus sylvestris"
"Mespilus germanica L.","3031774","Mespilus germanica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Mespilus","Mespilus germanica"
"Morus alba L.","5361889","Morus alba","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Morus","Morus alba"
"Morus nigra L.","5361888","Morus nigra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Morus","Morus nigra"
"Myrica faya (Dryand.) Ait.","5414211","Myrica faya","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Myricaceae","Morella","Morella faya"
"Myrtus communis L.","3180085","Myrtus communis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Myrtus","Myrtus communis"
"Olea europaea L.","5415040","Olea europaea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Olea","Olea europaea"
"Ostrya carpinifolia Scop.","5332305","Ostrya carpinifolia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Ostrya","Ostrya carpinifolia"
"Paliurus spina-christi Miller","5372457","Paliurus spina-christi","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Paliurus","Paliurus spina-christi"
"Paulownia tomentosa (Thunb.) Steud.","3170823","Paulownia tomentosa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Paulowniaceae","Paulownia","Paulownia tomentosa"
"Persea indica (L.) Spreng.","4181596","Persea indica","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Phoebe","Phoebe indica"
"Phillyrea angustifolia L.","7325947","Phillyrea angustifolia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Phillyrea","Phillyrea angustifolia"
"Phillyrea latifolia L.","7325923","Phillyrea latifolia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Phillyrea","Phillyrea latifolia"
"Phoenix canariensis Chabaud","6109529","Phoenix canariensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Phoenix","Phoenix canariensis"
"Picconia excelsa (Aiton) DC.","5549937","Picconia excelsa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Picconia","Picconia excelsa"
"Picea abies (L.) H. Karst.","5284884","Picea abies","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea abies"
"Picea engelmannii Parry ex Engelm.","5284917","Picea engelmannii","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea engelmannii"
"Picea glauca (Moench) Voss","5284745","Picea glauca","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea glauca"
"Picea omorika (Pancic) Purk.","5284950","Picea omorika","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea omorika"
"Picea pungens Engelm.","5284871","Picea pungens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea pungens"
"Picea sitchensis (Bong.) Carrière","5284827","Picea sitchensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea sitchensis"
"Pinus banksiana Lamb.","5285533","Pinus banksiana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus banksiana"
"Pinus brutia Ten.","5285710","Pinus brutia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus brutia"
"Pinus canariensis C. Sm.","5285243","Pinus canariensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus canariensis"
"Pinus cembra L.","5285134","Pinus cembra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus cembra"
"Pinus contorta Douglas ex Loudon","5285750","Pinus contorta","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus contorta"
"Pinus halepensis Mill.","5285604","Pinus halepensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus halepensis"
"Pinus heldreichii H. Christ","5285247","Pinus heldreichii","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus heldreichii"
"Pinus mugo Turra","5285385","Pinus mugo","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus mugo"
"Pinus nigra J.F. Arnold","5284809","Pinus nigra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus nigra"
"Pinus pinaster Aiton","5285565","Pinus pinaster","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus pinaster"
"Pinus pinea L.","5285165","Pinus pinea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus pinea"
"Pinus ponderosa Douglas ex C. Lawson","5285053","Pinus ponderosa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus ponderosa"
"Pinus radiata D. Don","5285727","Pinus radiata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus radiata"
"Pinus strobus L.","5284982","Pinus strobus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus strobus"
"Pinus sylvestris L.","5285637","Pinus sylvestris","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus sylvestris"
"Pinus wallichiana A.B. Jacks.","5285074","Pinus wallichiana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus wallichiana"
"Pistacia atlantica Desf.","3190581","Pistacia atlantica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Pistacia","Pistacia atlantica"
"Pistacia lentiscus L.","3190583","Pistacia lentiscus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Pistacia","Pistacia lentiscus"
"Pistacia terebinthus L.","3190580","Pistacia terebinthus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Pistacia","Pistacia terebinthus"
"Platanus acerifolia (Ait.) Willd.","3152815","Platanus acerifolia","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","Platanus hybrida"
"Platanus orientalis L.","3152816","Platanus orientalis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","Platanus orientalis"
"Populus alba L.","3040233","Populus alba","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus alba"
"Populus balsamifera Linnaeus","3040184","Populus balsamifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus balsamifera"
"Populus canescens (Aiton) Sm.","3040185","Populus canescens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus canescens"
"Populus nigra L.","3040227","Populus nigra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus nigra"
"Populus tremula L.","3040249","Populus tremula","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus tremula"
"Prunus armeniaca L.","7818643","Prunus armeniaca","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus armeniaca"
"Prunus avium (L.) L.","3020791","Prunus avium","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus avium"
"Prunus brigantina Vill.","3021637","Prunus brigantina","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus brigantina"
"Prunus cerasifera Ehrh.","3021730","Prunus cerasifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus cerasifera"
"Prunus cerasus L.","3021922","Prunus cerasus","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus avium"
"Prunus domestica L.","7931731","Prunus domestica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus domestica"
"Prunus dulcis (Mill.) D. A. Webb","3022502","Prunus dulcis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus dulcis"
"Prunus lusitanica L.","3020871","Prunus lusitanica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus lusitanica"
"Prunus mahaleb L.","3022789","Prunus mahaleb","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus mahaleb"
"Prunus padus L.","3021037","Prunus padus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus padus"
"Prunus persica (L.) Stokes","8149923","Prunus persica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica"
"Prunus serotina Ehrh.","3021850","Prunus serotina","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus serotina"
"Prunus spinosa L.","3023221","Prunus spinosa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus spinosa"
"Prunus virginiana L.","3022668","Prunus virginiana","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus serotina"
"Pseudotsuga menziesii (Mirb.) Franco","2685796","Pseudotsuga menziesii","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pseudotsuga","Pseudotsuga menziesii"
"Pyrus amygdaliformis Vill.","5362729","Pyrus amygdaliformis","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus spinosa"
"Pyrus communis L.","5362573","Pyrus communis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus communis"
"Pyrus pyraster (L.) Burgsd.","5362445","Pyrus pyraster","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus communis"
"Quercus alnifolia Poech","2880756","Quercus alnifolia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus alnifolia"
"Quercus canariensis Willd.","2880808","Quercus canariensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus canariensis"
"Quercus cerris L.","2880580","Quercus cerris","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus cerris"
"Quercus coccifera L.","2879175","Quercus coccifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus coccifera"
"Quercus congesta C.Presl","2879600","Quercus congesta","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus congesta"
"Quercus dalechampii Ten.","2880461","Quercus dalechampii","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus dalechampii"
"Quercus faginea Lam.","2881480","Quercus faginea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus faginea"
"Quercus frainetto Ten.","2879504","Quercus frainetto","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus frainetto"
"Quercus ilex L.","2879098","Quercus ilex","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus ilex"
"Quercus ithaburensis Decne.","2878323","Quercus ithaburensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus ithaburensis"
"Quercus palustris Münchh.","8313153","Quercus palustris","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus palustris"
"Quercus petraea (Matt.) Liebl.","2880130","Quercus petraea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus petraea"
"Quercus pubescens Willd.","2881283","Quercus pubescens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus pubescens"
"Quercus pyrenaica Willd.","2878826","Quercus pyrenaica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus pyrenaica"
"Quercus robur L.","2878688","Quercus robur","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus robur"
"Quercus rubra L.","2880539","Quercus rubra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus rubra"
"Quercus suber L.","2879411","Quercus suber","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus suber"
"Quercus trojana Webb","2879774","Quercus trojana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus trojana"
"Rhamnus alaternus L.","6371424","Rhamnus alaternus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus alaternus"
"Rhamnus alpina L.","7273705","Rhamnus alpina","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus alpina"
"Rhamnus cathartica L.","3039491","Rhamnus cathartica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus cathartica"
"Rhamnus lycioides L.","6371380","Rhamnus lycioides","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus lycioides"
"Rhamnus saxatilis Jacq.","6371028","Rhamnus saxatilis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus saxatilis"
"Rhus coriaria L.","3190563","Rhus coriaria","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus coriaria"
"Rhus typhina L.","3190538","Rhus typhina","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus typhina"
"Robinia pseudoacacia L.","5352251","Robinia pseudoacacia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Robinia","Robinia pseudoacacia"
"Salix alba L.","5372513","Salix alba","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix alba"
"Salix appendiculata Vill.","5583213","Salix appendiculata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix appendiculata"
"Salix atrocinerea Brot.","5582546","Salix atrocinerea","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix cinerea"
"Salix aurita L.","5372876","Salix aurita","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix aurita"
"Salix babylonica L.","5372639","Salix babylonica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix babylonica"
"Salix bicolor Willd.","5372945","Salix bicolor","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix bicolor"
"Salix caprea L.","5372952","Salix caprea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix caprea"
"Salix cinerea L.","5372605","Salix cinerea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix cinerea"
"Salix daphnoides Vill.","5372913","Salix daphnoides","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix daphnoides"
"Salix eleagnos Scop.","5372655","Salix eleagnos","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix","Salix eleagnos"
