scientificName,key,originalName,matchType,status,rank,kingdom,phylum,class,order,family,genus,species
"Taxus baccata L.","5284517","Taxus baccata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus","Taxus baccata"
"Tetraclinis articulata (Vahl) Mast.","2684184","Tetraclinis articulata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Tetraclinis","Tetraclinis articulata"
"Thuja plicata Donn ex D. Don","2684171","Thuja plicata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Thuja","Thuja plicata"
"Tilia cordata Mill.","3152047","Tilia cordata","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","Tilia cordata"
"Tilia platyphyllos Scop.","3152048","Tilia platyphyllos","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","Tilia platyphyllos"
"Tilia tomentosa Moench","4259350","Tilia tomentosa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","Tilia tomentosa"
"Tsuga heterophylla (Raf.) Sarg.","2687210","Tsuga heterophylla","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Tsuga","Tsuga heterophylla"
"Ulmus canescens Melville","7303611","Ulmus canescens","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus minor"
"Ulmus glabra Huds.","5361866","Ulmus glabra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus glabra"
"Ulmus laevis Pall.","7303616","Ulmus laevis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus laevis"
"Ulmus minor Mill.","5361865","Ulmus minor","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus minor"
"Vachellia farnesiana (L.) Wight & Arn.","2979265","Vachellia farnesiana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia farnesiana"
"Viburnum opulus L.","2888605","Viburnum opulus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum opulus"
